invoice_no,quantity,unit_price,discount_percentage,discount_amount,taxable_value,gst_rate,cgst,sgst,igst,cess_rate,cess_amount,total_tax,total_amount,calculated_gross_value,discount_difference,taxable_value_difference,gst_difference,total_tax_difference,total_amount_difference,cgst_sgst_split_difference,igst_difference,duplicate_transaction_frequency,duplicate_transaction_flag,supplier_frequency,buyer_frequency,supplier_buyer_frequency,supplier_daily_frequency,buyer_daily_frequency,daily_transaction_frequency,future_date_flag,days_beyond_allowed_end,invoice_month
INV000011,42,2351.44,0,0.0,98760.48,12,5925.63,5925.63,0.0,0.0,0.0,11851.26,110611.74,98760.48,0.0,0.0,0.0023999999993975507,0.0,1.4551915228366852e-11,0.0023999999993975507,0.0,1,0,38,22,2,1,1,64,0,0,10
INV000012,2,7663.56,15,2299.07,13028.05,18,0.0,0.0,2345.05,0.0,0.0,2345.05,15373.1,15327.12,0.0019999999999527063,1.8189894035458565e-12,0.0010000000002037268,0.0,1.8189894035458565e-12,0.0,0.0010000000002037268,1,0,46,20,1,2,1,48,0,0,12
INV000013,61,1512.92,10,9228.81,83059.31,28,11628.3,11628.3,0.0,2.0,1661.19,24917.79,107977.1,92288.12000000001,0.0020000000004074536,1.4551915228366852e-11,0.006799999999202555,3.637978807091713e-12,0.0,0.006799999999202555,0.0,1,0,37,23,1,1,1,70,0,0,1
INV000014,63,2058.09,0,0.0,129659.67,28,18152.35,18152.35,0.0,0.0,0.0,36304.7,165964.37,129659.67000000001,0.0,1.4551915228366852e-11,0.007599999997182749,0.0,0.0,0.007599999997182749,0.0,1,0,45,14,1,1,1,53,0,0,8
INV000015,74,32001.53,0,0.0,2368113.22,5,0.0,0.0,118405.66,0.0,0.0,118405.66,2486518.88,2368113.2199999997,0.0,4.656612873077393e-10,0.0010000000183936208,0.0,4.656612873077393e-10,0.0,0.0010000000183936208,1,0,136,19,1,91,1,155,0,0,8
INV000016,53,23371.14,0,0.0,1238670.42,28,173413.86,173413.86,0.0,0.0,0.0,346827.72,1585498.14,1238670.42,0.0,0.0,0.0023999999975785613,0.0,0.0,0.0023999999975785613,0.0,1,0,46,24,1,1,1,49,0,0,9
INV000017,69,15147.69,5,52259.53,992931.08,18,0.0,0.0,178727.59,0.0,0.0,178727.59,1171658.67,1045190.61,0.0005000000019208528,0.0,0.004399999976158142,0.0,0.0,0.0,0.004399999976158142,1,0,41,16,1,1,1,50,0,0,7
INV000018,78,350.0,15,4095.0,23205.0,28,0.0,0.0,6497.4,0.0,0.0,6497.4,29702.4,27300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,46,21,1,2,1,60,0,0,5
INV000019,21,20224.34,5,21235.56,403475.58,5,10086.89,10086.89,0.0,0.0,0.0,20173.78,423649.36,424711.14,0.0030000000006111804,0.0,0.000999999996565748,0.0,0.0,0.000999999996565748,0.0,1,0,36,22,1,2,1,54,0,0,3
INV000020,23,30703.16,0,0.0,706172.68,18,63555.54,63555.54,0.0,0.0,0.0,127111.08,833283.76,706172.68,0.0,0.0,0.0023999999975785613,0.0,0.0,0.0023999999975785613,0.0,1,0,46,25,1,1,1,52,0,0,2
INV000021,72,23045.62,15,248892.7,1410391.94,5,35259.8,35259.8,0.0,0.0,0.0,70519.6,1480911.54,1659284.64,0.004000000044470653,0.0,0.003000000011525117,0.0,0.0,0.003000000011525117,0.0,1,0,34,22,1,1,1,53,0,0,10
INV000022,95,50004.05,15,712557.71,4037827.04,5,100945.68,100945.68,0.0,0.0,0.0,201891.36,4239718.4,4750384.75,0.0025000000605359674,0.0,0.008000000001629815,0.0,0.0,0.008000000001629815,0.0,1,0,39,14,1,1,1,48,0,0,10
INV000023,48,45844.73,0,0.0,2200547.04,5,55013.68,55013.68,0.0,0.0,0.0,110027.36,2310574.4,2200547.04,0.0,0.0,0.008000000001629815,0.0,0.0,0.008000000001629815,0.0,1,0,57,23,1,1,1,50,0,0,1
INV000024,100,61661.82,15,924927.3,5241254.7,12,314475.28,314475.28,0.0,2.0,104825.09,733775.65,5975030.35,6166182.0,0.0,0.0,0.003999999957159162,0.0,9.313225746154785e-10,0.003999999957159162,0.0,1,0,36,20,1,1,1,50,0,0,12
INV000025,99,1717.73,5,8502.76,161552.51,18,14539.73,14539.73,0.0,0.0,0.0,29079.46,190631.97,170055.27,0.0034999999988940544,2.9103830456733704e-11,0.00819999999657739,0.0,0.0,0.00819999999657739,0.0,1,0,43,23,1,1,1,43,0,0,5
INV000026,84,6356.6,5,26697.72,507256.68,12,30435.4,30435.4,0.0,0.0,0.0,60870.8,568127.48,533954.4,0.0,5.820766091346741e-11,0.0015999999959603883,0.0,0.0,0.0015999999959603883,0.0,1,0,38,25,2,1,1,59,0,0,9
INV000027,27,866.9,15,3510.95,19895.35,5,497.38,497.38,0.0,0.0,0.0,994.76,20890.11,23406.3,0.004999999999654392,0.0,0.007500000000050022,0.0,3.637978807091713e-12,0.007500000000050022,0.0,1,0,35,19,1,1,1,60,0,0,1
INV000028,17,1824.29,0,0.0,31012.93,28,4341.81,4341.81,0.0,0.0,0.0,8683.62,39696.55,31012.93,0.0,0.0,0.0003999999989900971,0.0,0.0,0.0003999999989900971,0.0,1,0,50,21,1,1,1,66,0,0,6
INV000029,48,9076.9,0,0.0,435691.2,28,60996.77,60996.77,0.0,0.0,0.0,121993.54,557684.74,435691.19999999995,0.0,5.820766091346741e-11,0.004000000000814907,0.0,0.0,0.004000000000814907,0.0,1,0,48,28,1,1,2,56,0,0,10
INV000030,77,46437.86,5,178785.76,3396929.46,12,203815.77,203815.77,0.0,0.0,0.0,407631.54,3804561.0,3575715.22,0.0010000000183936208,0.0,0.004799999995157123,0.0,0.0,0.004799999995157123,0.0,1,0,41,22,1,1,2,50,0,0,6
INV000031,16,3123.14,0,0.0,49970.24,12,2998.21,2998.21,0.0,0.0,0.0,5996.42,55966.66,49970.24,0.0,0.0,0.008799999999610009,0.0,7.275957614183426e-12,0.008799999999610009,0.0,1,0,38,14,1,1,1,51,0,0,4
INV000032,64,956.54,5,3060.93,58157.63,18,5234.19,5234.19,0.0,0.0,0.0,10468.38,68626.01,61218.56,0.0019999999999527063,0.0,0.006599999998798012,0.0,0.0,0.006599999998798012,0.0,1,0,136,15,1,91,1,155,0,0,8
INV000033,56,35994.47,0,0.0,2015690.32,12,120941.42,120941.42,0.0,0.0,0.0,241882.84,2257573.16,2015690.32,0.0,0.0,0.0015999999886844307,0.0,0.0,0.0015999999886844307,0.0,1,0,47,22,1,1,1,57,0,0,7
INV000034,43,2199.53,0,0.0,94579.79,5,2364.49,2364.49,0.0,0.0,0.0,4728.98,99308.77,94579.79000000001,0.0,1.4551915228366852e-11,0.009500000000116415,0.0,1.4551915228366852e-11,0.009500000000116415,0.0,1,0,40,16,1,1,2,52,0,0,2
INV000035,51,813.08,0,0.0,41467.08,5,0.0,0.0,2073.35,0.0,0.0,2073.35,43540.43,41467.08,0.0,0.0,0.00400000000036016,0.0,0.0,0.0,0.00400000000036016,1,0,58,24,1,1,1,64,0,0,1
INV000036,19,6369.74,5,6051.25,114973.81,28,16096.33,16096.33,0.0,0.0,0.0,32192.66,147166.47,121025.06,0.0030000000006111804,0.0,0.006799999995564576,0.0,0.0,0.006799999995564576,0.0,1,0,40,19,1,1,1,43,0,0,5
INV000037,80,1863.22,0,0.0,149057.6,18,13415.18,13415.18,0.0,0.0,0.0,26830.36,175887.96,149057.6,0.0,0.0,0.008000000001629815,0.0,2.9103830456733704e-11,0.008000000001629815,0.0,1,0,41,22,1,2,1,70,0,0,11
INV000038,45,1485.44,0,0.0,66844.8,5,1671.12,1671.12,0.0,2.0,1336.9,4679.14,71523.94,66844.8,0.0,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,1,0,39,18,1,1,1,47,0,0,12
INV000039,9,3682.22,0,0.0,33139.98,5,828.5,828.5,0.0,0.0,0.0,1657.0,34796.98,33139.979999999996,0.0,7.275957614183426e-12,0.0009999999997489795,0.0,0.0,0.0009999999997489795,0.0,1,0,48,18,1,1,1,55,0,0,7
INV000040,61,729.45,0,0.0,44496.45,12,2669.79,2669.79,0.0,0.0,0.0,5339.58,49836.03,44496.450000000004,0.0,7.275957614183426e-12,0.006000000001222361,0.0,0.0,0.006000000001222361,0.0,1,0,33,21,1,2,1,54,0,0,8
INV000041,94,605.68,5,2846.7,54087.22,5,1352.18,1352.18,0.0,0.0,0.0,2704.36,56791.58,56933.92,0.0039999999999054126,0.0,0.0009999999997489795,0.0,0.0,0.0009999999997489795,0.0,1,0,47,21,2,2,1,54,0,0,9
INV000042,78,649.36,0,0.0,50650.08,12,3039.0,3039.0,0.0,0.0,0.0,6078.0,56728.08,50650.08,0.0,0.0,0.009599999999409192,0.0,0.0,0.009599999999409192,0.0,1,0,36,14,1,1,1,66,0,0,8
INV000043,54,599.1,0,0.0,32351.4,12,1941.08,1941.08,0.0,0.0,0.0,3882.16,36233.56,32351.4,0.0,0.0,0.00800000000072032,0.0,0.0,0.00800000000072032,0.0,1,0,41,19,1,1,1,60,0,0,4
INV000044,66,23984.5,10,158297.7,1424679.3,12,0.0,0.0,170961.52,0.0,0.0,170961.52,1595640.82,1582977.0,0.0,0.0,0.003999999986262992,0.0,0.0,0.0,0.003999999986262992,1,0,25,25,1,1,1,49,0,0,4
INV000045,26,1472.49,10,3828.47,34456.27,28,4823.88,4823.88,0.0,0.0,0.0,9647.76,44104.03,38284.74,0.0039999999999054126,0.0,0.004400000001623994,0.0,0.0,0.004400000001623994,0.0,1,0,38,20,1,1,1,54,0,0,3
INV000046,40,4145.08,15,24870.48,140932.72,12,0.0,0.0,16911.93,0.0,0.0,16911.93,157844.65,165803.2,0.0,0.0,0.0036000000000058208,0.0,0.0,0.0,0.0036000000000058208,1,0,44,20,1,1,1,72,0,0,4
INV000047,73,87030.31,0,0.0,6353212.63,28,889449.77,889449.77,0.0,0.0,0.0,1778899.54,8132112.17,6353212.63,0.0,0.0,0.0036000001709908247,0.0,0.0,0.0036000001709908247,0.0,1,0,41,17,1,1,1,69,0,0,9
INV000048,62,4482.66,5,13896.25,264028.67,12,15841.72,15841.72,0.0,0.0,0.0,31683.44,295712.11,277924.92,0.004000000000814907,0.0,0.0004000000008090865,0.0,0.0,0.0004000000008090865,0.0,1,0,48,28,1,1,1,47,0,0,7
INV000049,51,290.37,10,1480.89,13327.98,18,0.0,0.0,2399.04,0.0,0.0,2399.04,15727.02,14808.87,0.0029999999999290594,1.8189894035458565e-12,0.0036000000000058208,0.0,0.0,0.0,0.0036000000000058208,1,0,36,16,1,1,1,50,0,0,6
INV000050,7,1848.29,10,1293.8,11644.23,5,291.11,291.11,0.0,0.0,0.0,582.22,12226.45,12938.029999999999,0.0029999999999290594,0.0,0.008500000000140062,0.0,1.8189894035458565e-12,0.008500000000140062,0.0,1,0,24,15,1,1,1,49,0,0,5
INV000051,30,29294.53,10,87883.59,790952.31,12,0.0,0.0,94914.28,0.0,0.0,94914.28,885866.59,878835.8999999999,0.0,1.1641532182693481e-10,0.0027999999874737114,0.0,1.1641532182693481e-10,0.0,0.0027999999874737114,1,0,39,22,1,1,1,54,0,0,11
INV000052,70,29925.32,15,314215.86,1780556.54,18,0.0,0.0,320500.18,0.0,0.0,320500.18,2101056.72,2094772.4,0.0,0.0,0.002800000016577542,0.0,0.0,0.0,0.002800000016577542,1,0,46,16,1,1,1,44,0,0,3
INV000053,100,54086.77,10,540867.7,4867809.3,28,681493.3,681493.3,0.0,0.0,0.0,1362986.6,6230795.9,5408677.0,0.0,0.0,0.003999999957159162,0.0,0.0,0.003999999957159162,0.0,1,0,40,21,1,1,1,57,0,0,7
INV000054,43,32120.36,10,138117.55,1243057.93,18,0.0,0.0,223750.43,0.0,0.0,223750.43,1466808.36,1381175.48,0.001999999978579581,0.0,0.0026000000070780516,0.0,2.3283064365386963e-10,0.0,0.0026000000070780516,1,0,43,28,1,1,1,52,0,0,7
INV000055,23,7601.23,5,8741.41,166086.88,28,0.0,0.0,46504.33,0.0,0.0,46504.33,212591.21,174828.28999999998,0.004499999999097781,2.9103830456733704e-11,0.003599999996367842,0.0,2.9103830456733704e-11,0.0,0.003599999996367842,1,0,43,17,1,1,1,53,0,0,2
INV000056,25,65733.29,5,82166.61,1561165.64,5,39029.14,39029.14,0.0,5.0,78058.28,156116.56,1717282.2,1643332.2499999998,0.002499999987776391,2.3283064365386963e-10,0.001999999993131496,0.0,0.0,0.001999999993131496,0.0,1,0,37,18,1,1,1,48,0,0,3
INV000057,43,2442.11,0,0.0,105010.73,12,6300.64,6300.64,0.0,0.0,0.0,12601.28,117612.01,105010.73000000001,0.0,1.4551915228366852e-11,0.007599999999001739,0.0,0.0,0.007599999999001739,0.0,1,0,38,25,1,2,1,55,0,0,6
INV000058,11,9520.15,0,0.0,104721.65,5,2618.04,2618.04,0.0,0.0,0.0,5236.08,109957.73,104721.65,0.0,0.0,0.002500000000509317,0.0,0.0,0.002500000000509317,0.0,1,0,55,27,1,1,1,53,0,0,9
INV000059,74,12665.2,5,46861.24,890363.56,5,22259.09,22259.09,0.0,5.0,44518.18,89036.36,23287688.63,937224.8,0.0,0.0,0.001999999993131496,0.0,22308288.709999997,0.001999999993131496,0.0,1,0,38,28,1,1,1,53,0,0,10
INV000060,85,92107.39,15,1174369.22,6654758.93,12,0.0,0.0,798571.07,0.0,0.0,798571.07,7453330.0,7829128.15,0.0024999999441206455,9.313225746154785e-10,0.0015999999595806003,0.0,0.0,0.0,0.0015999999595806003,1,0,39,24,2,1,1,70,0,0,1
INV000061,72,4334.93,5,15605.75,296509.21,12,17790.55,17790.55,0.0,0.0,0.0,35581.1,332090.31,312114.96,0.0020000000004074536,0.0,0.0052000000068801455,0.0,0.0,0.0052000000068801455,0.0,1,0,37,18,1,1,1,62,0,0,1
INV000062,96,1538.55,0,0.0,147700.8,28,0.0,0.0,41356.22,0.0,0.0,41356.22,189057.02,147700.8,0.0,0.0,0.00399999999353895,0.0,0.0,0.0,0.00399999999353895,1,0,38,17,1,1,1,46,0,0,11
INV000063,3,37560.31,0,0.0,112680.93,5,2817.02,2817.02,0.0,0.0,0.0,5634.04,118314.97,112680.93,0.0,0.0,0.006499999999505235,0.0,1.4551915228366852e-11,0.006499999999505235,0.0,1,0,49,22,1,1,1,60,0,0,4
INV000064,69,268.79,10,1854.65,16691.86,28,2336.86,2336.86,0.0,0.0,0.0,4673.72,21365.58,18546.510000000002,0.0010000000002037268,0.0,0.0007999999997991836,0.0,0.0,0.0007999999997991836,0.0,1,0,51,24,1,1,2,48,0,0,1
INV000065,55,518.4,0,0.0,28512.0,18,0.0,0.0,5132.16,0.0,0.0,5132.16,33644.16,28512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,44,22,1,2,1,58,0,0,6
INV000066,8,2643.99,0,0.0,21151.92,12,0.0,0.0,2538.23,0.0,0.0,2538.23,23690.15,21151.92,0.0,0.0,0.0003999999998995918,0.0,3.637978807091713e-12,0.0,0.0003999999998995918,1,0,48,22,1,1,1,44,0,0,3
INV000067,68,1002.45,5,3408.33,64758.27,28,9066.16,9066.16,0.0,0.0,0.0,18132.32,82890.59,68166.6,0.0,7.275957614183426e-12,0.004400000001623994,0.0,0.0,0.004400000001623994,0.0,1,0,49,20,1,1,1,59,0,0,6
INV000068,77,4069.34,0,0.0,313339.18,12,18800.35,18800.35,0.0,0.0,0.0,37600.7,350939.88,313339.18,0.0,0.0,0.001600000003236346,0.0,0.0,0.001600000003236346,0.0,1,0,45,18,1,1,1,70,0,0,12
INV000069,70,999.18,5,3497.13,66445.47,5,1661.14,1661.14,0.0,2.0,1328.91,4651.19,71096.66,69942.59999999999,9.094947017729282e-13,1.4551915228366852e-11,0.00650000000041473,9.094947017729282e-13,0.0,0.00650000000041473,0.0,1,0,41,15,1,1,1,40,0,0,12
INV000070,50,1644.41,0,0.0,82220.5,28,11510.87,11510.87,0.0,0.0,0.0,23021.74,105242.24,82220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,41,20,2,1,1,55,0,0,2
INV000071,51,4791.29,10,24435.58,219920.21,5,5498.01,5498.01,0.0,0.0,0.0,10996.02,230916.23,244355.79,0.0010000000038417056,2.9103830456733704e-11,0.009500000000116415,0.0,2.9103830456733704e-11,0.009500000000116415,0.0,1,0,39,12,1,1,1,65,0,0,2
INV000072,4,42907.76,10,17163.1,154467.94,28,0.0,0.0,43251.02,0.0,0.0,43251.02,197718.96,171631.04,0.004000000004452886,0.0,0.003200000006472692,0.0,0.0,0.0,0.003200000006472692,1,0,50,20,1,1,2,155,0,0,8
INV000073,38,1050.03,0,0.0,39901.14,28,0.0,0.0,11172.32,0.0,0.0,11172.32,51073.46,39901.14,0.0,0.0,0.0007999999997991836,0.0,0.0,0.0,0.0007999999997991836,1,0,45,19,1,1,1,57,0,0,1
INV000074,80,49959.21,5,199836.84,3796899.96,18,341721.0,341721.0,0.0,0.0,0.0,683442.0,4480341.96,3996736.8,0.0,0.0,0.007199999992735684,0.0,0.0,0.007199999992735684,0.0,1,0,48,17,2,1,1,48,0,0,2
INV000075,34,3099.83,0,0.0,105394.22,5,2634.86,2634.86,0.0,0.0,0.0,5269.72,110663.94,105394.22,0.0,0.0,0.009000000000924047,0.0,0.0,0.009000000000924047,0.0,1,0,40,22,1,1,1,54,0,0,11
INV000076,2,1467.48,5,146.75,2788.21,28,390.35,390.35,0.0,0.0,0.0,780.7,3568.91,2934.96,0.0020000000000095497,0.0,0.0012000000000398359,0.0,0.0,0.0012000000000398359,0.0,1,0,38,23,1,1,1,56,0,0,1
INV000077,87,848.24,0,0.0,73796.88,12,4427.81,4427.81,0.0,0.0,0.0,8855.62,82652.5,73796.88,0.0,0.0,0.005600000000413274,0.0,0.0,0.005600000000413274,0.0,1,0,38,16,1,1,1,64,0,0,2
INV000078,6,848.41,5,254.52,4835.94,18,435.23,435.23,0.0,0.0,0.0,870.46,5706.4,5090.46,0.002999999999985903,0.0,0.009199999999964348,0.0,0.0,0.009199999999964348,0.0,1,0,44,28,1,1,1,64,0,0,10
INV000079,73,9098.17,10,66416.64,597749.77,18,0.0,0.0,107594.96,0.0,0.0,107594.96,705344.73,664166.41,0.0010000000038417056,0.0,0.001400000008288771,0.0,0.0,0.0,0.001400000008288771,1,0,37,23,1,1,1,48,0,0,11
INV000080,15,2574.25,0,0.0,38613.75,18,3475.24,3475.24,0.0,0.0,0.0,6950.48,45564.23,38613.75,0.0,0.0,0.004999999999199645,0.0,7.275957614183426e-12,0.004999999999199645,0.0,1,0,39,25,1,1,1,61,0,0,6
INV000081,26,112.76,5,146.59,2785.17,5,0.0,0.0,139.26,0.0,0.0,139.26,2924.43,2931.76,0.001999999999981128,0.0,0.0014999999999929514,0.0,4.547473508864641e-13,0.0,0.0014999999999929514,1,0,41,19,1,1,1,58,0,0,9
INV000082,76,2618.61,10,19901.44,179112.92,5,4477.82,4477.82,0.0,0.0,0.0,8955.64,188068.56,199014.36000000002,0.0039999999971769284,0.0,0.006000000001222361,0.0,0.0,0.006000000001222361,0.0,1,0,42,15,1,1,1,56,0,0,1
INV000083,66,706.21,0,0.0,46609.86,12,2796.59,2796.59,0.0,0.0,0.0,5593.18,52203.04,46609.86,0.0,0.0,0.003200000000106229,0.0,0.0,0.003200000000106229,0.0,1,0,41,17,1,1,1,58,0,0,8
INV000084,30,36014.28,10,108042.84,972385.56,5,24309.64,24309.64,0.0,0.0,0.0,48619.28,1021004.84,1080428.4,0.0,1.1641532182693481e-10,0.001999999993131496,0.0,1.1641532182693481e-10,0.001999999993131496,0.0,1,0,38,25,1,1,1,50,0,0,1
INV000085,54,9696.31,0,0.0,523600.74,12,31416.04,31416.04,0.0,0.0,0.0,62832.08,586432.82,523600.74,0.0,0.0,0.00879999999597203,0.0,0.0,0.00879999999597203,0.0,1,0,43,21,1,1,1,60,0,0,4
INV000086,84,42445.43,0,0.0,3565416.12,5,89135.4,89135.4,0.0,0.0,0.0,178270.8,3743686.92,3565416.12,0.0,0.0,0.006000000023050234,0.0,0.0,0.006000000023050234,0.0,1,0,42,14,1,1,1,47,0,0,1
INV000087,35,38019.11,0,0.0,1330668.85,5,33266.72,33266.72,0.0,0.0,0.0,66533.44,1397202.29,1330668.85,0.0,0.0,0.0025000000023283064,0.0,0.0,0.0025000000023283064,0.0,1,0,38,25,1,1,1,58,0,0,8
INV000088,28,20158.3,0,0.0,564432.4,12,0.0,0.0,67731.89,0.0,0.0,67731.89,632164.29,564432.4,0.0,0.0,0.001999999993131496,0.0,0.0,0.0,0.001999999993131496,1,0,34,20,1,2,1,40,0,0,12
INV000089,40,14385.11,15,86310.66,489093.74,12,0.0,0.0,23476.5,0.0,0.0,23476.5,512570.24,575404.4,0.0,0.0,35214.7488,0.0,0.0,0.0,35214.7488,1,0,40,25,1,1,1,70,0,0,11
INV000090,72,4799.23,15,51831.68,293712.88,28,0.0,0.0,82239.61,0.0,0.0,82239.61,375952.49,345544.55999999994,0.00399999999353895,5.820766091346741e-11,0.003599999996367842,0.0,0.0,0.0,0.003599999996367842,1,0,33,21,1,2,2,68,0,0,1
INV000091,48,575.02,5,1380.05,26220.91,18,0.0,0.0,4719.76,0.0,0.0,4719.76,30940.67,27600.96,0.00200000000018008,0.0,0.0037999999995008693,0.0,0.0,0.0,0.0037999999995008693,1,0,47,23,1,1,1,52,0,0,7
INV000092,83,6767.14,0,0.0,561672.62,28,78634.17,78634.17,0.0,0.0,0.0,157268.34,718940.96,561672.62,0.0,0.0,0.006400000012945384,0.0,0.0,0.006400000012945384,0.0,1,0,50,20,1,1,1,50,0,0,5
INV000093,49,1601.23,0,0.0,78460.27,28,10984.44,10984.44,0.0,0.0,0.0,21968.88,100429.15,78460.27,0.0,0.0,0.004400000001623994,0.0,1.4551915228366852e-11,0.004400000001623994,0.0,1,0,48,21,1,2,1,65,0,0,1
INV000094,84,1781.37,0,0.0,149635.08,5,3740.88,3740.88,0.0,0.0,0.0,7481.76,157116.84,149635.08,0.0,0.0,0.006000000001222361,0.0,0.0,0.006000000001222361,0.0,1,0,42,20,1,1,1,52,0,0,10
INV000095,93,7641.56,10,71066.51,639598.57,18,57563.87,57563.87,0.0,5.0,31979.93,147107.67,786706.24,710665.0800000001,0.001999999993131496,1.1641532182693481e-10,0.0025999999925261363,0.0,0.0,0.0025999999925261363,0.0,1,0,40,23,1,1,1,56,0,0,7
INV000096,78,16336.44,0,0.0,1274242.32,5,31856.06,31856.06,0.0,0.0,0.0,63712.12,1337954.44,1274242.32,0.0,0.0,0.00399999999353895,0.0,2.3283064365386963e-10,0.00399999999353895,0.0,1,0,30,27,1,1,1,48,0,0,1
INV000097,28,31151.46,0,0.0,872240.88,12,0.0,0.0,104668.91,0.0,0.0,104668.91,976909.79,872240.88,0.0,0.0,0.0044000000052619725,0.0,0.0,0.0,0.0044000000052619725,1,0,47,16,1,1,1,51,0,0,1
INV000098,27,27256.53,5,36796.32,699129.99,5,0.0,0.0,34956.5,0.0,0.0,34956.5,734086.49,735926.3099999999,0.00450000000273576,0.0,0.0004999999946448952,0.0,0.0,0.0,0.0004999999946448952,1,0,35,18,1,1,1,52,0,0,3
INV000099,24,775.76,0,0.0,18618.24,18,0.0,0.0,3351.28,0.0,0.0,3351.28,21969.52,18618.239999999998,0.0,3.637978807091713e-12,0.0031999999996514816,0.0,0.0,0.0,0.0031999999996514816,1,0,31,28,1,1,1,53,0,0,12
INV000100,15,28904.49,10,43356.74,390210.61,5,9755.27,9755.27,0.0,0.0,0.0,19510.54,409721.15,433567.35000000003,0.004999999997380655,5.820766091346741e-11,0.009500000003754394,0.0,5.820766091346741e-11,0.009500000003754394,0.0,1,0,31,29,1,1,1,52,0,0,7
INV000101,19,41340.1,0,0.0,785461.9,18,0.0,0.0,141383.14,1.0,7854.62,149237.76,934699.66,785461.9,0.0,0.0,0.0020000000076834112,0.0,0.0,0.0,0.0020000000076834112,1,0,50,13,1,1,1,52,0,0,6
INV000102,51,252.43,0,0.0,12873.93,12,772.44,772.44,0.0,0.0,0.0,1544.88,14418.81,12873.93,0.0,0.0,0.008400000000165164,0.0,1.8189894035458565e-12,0.008400000000165164,0.0,1,0,36,18,1,2,1,45,0,0,7
INV000103,94,268.47,0,0.0,25236.18,18,0.0,0.0,4542.51,0.0,0.0,4542.51,29778.69,25236.180000000004,0.0,3.637978807091713e-12,0.0023999999993975507,0.0,3.637978807091713e-12,0.0,0.0023999999993975507,1,0,49,20,1,1,1,63,0,0,3
