invoice_no,actual_anomaly,anomaly_type
INV002631,1,Extreme Invoice Amount
INV011420,1,Extreme Invoice Amount
INV000156,1,Extreme Invoice Amount
INV006543,1,Extreme Invoice Amount
INV006989,1,Extreme Invoice Amount
INV009905,1,Extreme Unit Price
INV004656,1,Extreme Unit Price
INV017189,1,Extreme Unit Price
INV000632,1,Extreme Unit Price
INV008225,1,Extreme Unit Price
INV008489,1,Extreme Unit Price
INV007221,1,Extreme Unit Price
INV010081,1,Extreme Unit Price
INV010773,1,Extreme Unit Price
INV002614,1,Extreme Unit Price
INV015656,1,Extreme Unit Price
INV003555,1,Extreme Unit Price
INV008843,1,Extreme Unit Price
INV019563,1,Extreme Unit Price
INV013016,1,Extreme Unit Price
INV007366,1,Extreme Unit Price
INV014777,1,Extreme Unit Price
INV000768,1,Extreme Unit Price
INV003602,1,Extreme Unit Price
INV011695,1,Extreme Unit Price
INV018907,1,Extreme Unit Price
INV017964,1,Extreme Unit Price
INV009741,1,Extreme Unit Price
INV007411,1,Extreme Unit Price
INV010135,1,Extreme Unit Price
INV019338,1,Extreme Unit Price
INV010105,1,Extreme Unit Price
INV018600,1,Extreme Unit Price
INV010134,1,Extreme Unit Price
INV000919,1,Extreme Unit Price
INV015295,1,Extreme Unit Price
INV005208,1,Extreme Unit Price
INV016074,1,Extreme Unit Price
INV001882,1,Extreme Unit Price
INV003972,1,Extreme Unit Price
INV014056,1,Extreme Unit Price
INV002866,1,Extreme Unit Price
INV017723,1,Extreme Unit Price
INV016862,1,Extreme Unit Price
INV015623,1,Extreme Unit Price
INV012686,1,Extreme Unit Price
INV016855,1,Extreme Unit Price
INV001847,1,Extreme Unit Price
INV019962,1,Extreme Unit Price
INV009646,1,Extreme Unit Price
INV009312,1,Extreme Unit Price
INV010452,1,Extreme Unit Price
INV008337,1,Extreme Unit Price
INV016512,1,Extreme Unit Price
INV015685,1,Extreme Unit Price
INV008728,1,Extreme Unit Price
INV011068,1,Extreme Unit Price
INV004806,1,Extreme Unit Price
INV010610,1,Extreme Unit Price
INV000561,1,Extreme Unit Price
INV014007,1,Extreme Unit Price
INV013994,1,Extreme Unit Price
INV013969,1,Extreme Unit Price
INV013534,1,Extreme Unit Price
INV006717,1,Extreme Unit Price
INV017510,1,Extreme Unit Price
INV018011,1,Extreme Unit Price
INV014388,1,Extreme Unit Price
INV011365,1,Extreme Unit Price
INV018270,1,Extreme Unit Price
INV006261,1,Extreme Unit Price
INV002581,1,Extreme Unit Price
INV008214,1,Extreme Unit Price
INV015537,1,Extreme Unit Price
INV005661,1,Extreme Unit Price
INV006878,1,Extreme Unit Price
INV008317,1,Extreme Unit Price
INV009931,1,Extreme Unit Price
INV013582,1,Extreme Unit Price
INV007755,1,Extreme Unit Price
INV002748,1,Extreme Unit Price
INV001921,1,Extreme Unit Price
INV016719,1,Extreme Unit Price
INV017315,1,Extreme Unit Price
INV012015,1,Extreme Unit Price
INV018459,1,Extreme Unit Price
INV012212,1,Extreme Unit Price
INV010926,1,Extreme Unit Price
INV009552,1,Extreme Unit Price
INV001212,1,Extreme Unit Price
INV008003,1,Extreme Unit Price
INV011363,1,Extreme Unit Price
INV000875,1,Extreme Unit Price
INV016895,1,Extreme Unit Price
INV004180,1,Extreme Unit Price
INV012186,1,Extreme Unit Price
INV000514,1,Unusual Quantity
INV005954,1,Unusual Quantity
INV004117,1,Unusual Quantity
INV000327,1,Unusual Quantity
INV018839,1,Unusual Quantity
INV015165,1,Unusual Quantity
INV004682,1,Unusual Quantity
INV004423,1,Unusual Quantity
INV009700,1,Unusual Quantity
INV018593,1,Unusual Quantity
INV015969,1,Unusual Quantity
INV006747,1,Unusual Quantity
INV013691,1,Unusual Quantity
INV010209,1,Unusual Quantity
INV006962,1,Unusual Quantity
INV009576,1,Unusual Quantity
INV008696,1,Unusual Quantity
INV013441,1,Unusual Quantity
INV000150,1,Unusual Quantity
INV010009,1,Unusual Quantity
INV000148,1,Unusual Quantity
INV004103,1,Unusual Quantity
INV016534,1,Unusual Quantity
INV002178,1,Unusual Quantity
INV017505,1,Unusual Quantity
INV016763,1,Unusual Quantity
INV008902,1,Unusual Quantity
INV009520,1,Unusual Quantity
INV000243,1,Unusual Quantity
INV017230,1,Unusual Quantity
INV005678,1,Unusual Quantity
INV011262,1,Unusual Quantity
INV009136,1,Unusual Quantity
INV013344,1,Unusual Quantity
INV000290,1,Unusual Quantity
INV012736,1,Unusual Quantity
INV013501,1,Unusual Quantity
INV006015,1,Unusual Quantity
INV017560,1,Unusual Quantity
INV008546,1,Unusual Quantity
INV004352,1,Unusual Quantity
INV009813,1,Unusual Quantity
INV018317,1,Unusual Quantity
INV000905,1,Unusual Quantity
INV008342,1,Unusual Quantity
INV015256,1,Unusual Quantity
INV017631,1,Unusual Quantity
INV008068,1,Unusual Quantity
INV013155,1,Unusual Quantity
INV019178,1,Unusual Quantity
INV012545,1,Unusual Quantity
INV018947,1,Unusual Quantity
INV001992,1,Unusual Quantity
INV013394,1,Unusual Quantity
INV016343,1,Unusual Quantity
INV016834,1,Unusual Quantity
INV002220,1,Unusual Quantity
INV010210,1,Unusual Quantity
INV001341,1,Unusual Quantity
INV010802,1,Unusual Quantity
INV007302,1,Unusual Quantity
INV010916,1,Unusual Quantity
INV006206,1,Unusual Quantity
INV000831,1,Unusual Quantity
INV016610,1,Unusual Quantity
INV008857,1,Unusual Quantity
INV016847,1,Unusual Quantity
INV001742,1,Unusual Quantity
INV003623,1,Unusual Quantity
INV017318,1,Unusual Quantity
INV017852,1,Unusual Quantity
INV016829,1,Unusual Quantity
INV005910,1,Unusual Quantity
INV015764,1,Unusual Quantity
INV012111,1,Unusual Quantity
INV000342,1,Unusual Quantity
INV017454,1,Unusual Quantity
INV003033,1,Unusual Quantity
INV013215,1,Unusual Quantity
INV010303,1,Unusual Quantity
INV014640,1,Unusual Quantity
INV012661,1,Unusual Quantity
INV011453,1,Unusual Quantity
INV001851,1,Unusual Quantity
INV018716,1,Unusual Quantity
INV015066,1,Unusual Quantity
INV002184,1,Unusual Quantity
INV001996,1,Unusual Quantity
INV013384,1,Unusual Quantity
INV012854,1,Unusual Quantity
INV010650,1,Unusual Quantity
INV010529,1,Unusual Discount
INV006428,1,Unusual Discount
INV000694,1,Unusual Discount
INV001763,1,Unusual Discount
INV000187,1,Unusual Discount
INV014859,1,Unusual Discount
INV015853,1,Unusual Discount
INV008222,1,Unusual Discount
INV005000,1,Unusual Discount
INV008858,1,Unusual Discount
INV007372,1,Unusual Discount
INV011471,1,Unusual Discount
INV017755,1,Unusual Discount
INV014295,1,Unusual Discount
INV015231,1,Unusual Discount
INV019062,1,Unusual Discount
INV019968,1,Unusual Discount
INV013239,1,Unusual Discount
INV009821,1,Unusual Discount
INV009210,1,Unusual Discount
INV010095,1,Unusual Discount
INV005316,1,Unusual Discount
INV001256,1,Unusual Discount
INV010948,1,Unusual Discount
INV000604,1,Unusual Discount
INV012178,1,Unusual Discount
INV007291,1,Unusual Discount
INV004073,1,Unusual Discount
INV006135,1,Unusual Discount
INV017092,1,Unusual Discount
INV004145,1,Unusual Discount
INV009839,1,Unusual Discount
INV001943,1,Unusual Discount
INV009139,1,Unusual Discount
INV006749,1,Unusual Discount
INV013555,1,Unusual Discount
INV005061,1,Unusual Discount
INV011303,1,Unusual Discount
INV009744,1,Unusual Discount
INV017758,1,Unusual Discount
INV017994,1,Unusual Discount
INV005508,1,Unusual Discount
INV001333,1,Unusual Discount
INV011002,1,Unusual Discount
INV006753,1,Unusual Discount
INV005797,1,Unusual Discount
INV012979,1,Unusual Discount
INV010848,1,Unusual Discount
INV017313,1,Unusual Discount
INV003515,1,Unusual Discount
INV016290,1,Unusual Discount
INV004199,1,Unusual Discount
INV007190,1,Unusual Discount
INV018401,1,Unusual Discount
INV001945,1,Unusual Discount
INV006711,1,Unusual Discount
INV009475,1,Unusual Discount
INV016591,1,Unusual Discount
INV001990,1,Unusual Discount
INV018806,1,Unusual Discount
INV006044,1,Unusual Discount
INV004432,1,Unusual Discount
INV013279,1,Unusual Discount
INV008474,1,Unusual Discount
INV007500,1,Unusual Discount
INV007891,1,Unusual Discount
INV004383,1,Unusual Discount
INV008751,1,Unusual Discount
INV002057,1,Unusual Discount
INV012698,1,Unusual Discount
INV003281,1,Unusual Discount
INV005929,1,Unusual Discount
INV013250,1,Unusual Discount
INV005757,1,Unusual Discount
INV003061,1,Unusual Discount
INV012483,1,Unusual Discount
INV016647,1,Unusual Discount
INV001175,1,Unusual Discount
INV010632,1,Unusual Discount
INV011270,1,Unusual Discount
INV008809,1,Unusual Discount
INV012928,1,Unusual Discount
INV002198,1,Unusual Discount
INV002244,1,Unusual Discount
INV002218,1,Unusual Discount
INV001477,1,Unusual Discount
INV012894,1,Unusual Discount
INV015171,1,Unusual Discount
INV013632,1,Unusual Discount
INV003626,1,Unusual Discount
INV000448,1,Unusual Discount
INV016177,1,Tax Calculation Mismatch
INV002909,1,Tax Calculation Mismatch
INV011864,1,Tax Calculation Mismatch
INV003453,1,Tax Calculation Mismatch
INV005284,1,Tax Calculation Mismatch
INV011637,1,Tax Calculation Mismatch
INV007667,1,Tax Calculation Mismatch
INV015858,1,Tax Calculation Mismatch
INV001149,1,Tax Calculation Mismatch
INV019980,1,Tax Calculation Mismatch
INV014138,1,Tax Calculation Mismatch
INV011244,1,Tax Calculation Mismatch
INV018333,1,Tax Calculation Mismatch
INV006454,1,Tax Calculation Mismatch
INV010488,1,Tax Calculation Mismatch
INV011432,1,Tax Calculation Mismatch
INV018836,1,Tax Calculation Mismatch
INV013945,1,Tax Calculation Mismatch
INV004672,1,Tax Calculation Mismatch
INV005587,1,Tax Calculation Mismatch
INV007676,1,Tax Calculation Mismatch
INV017684,1,Tax Calculation Mismatch
INV008165,1,Tax Calculation Mismatch
INV013376,1,Tax Calculation Mismatch
INV007142,1,Tax Calculation Mismatch
INV009192,1,Tax Calculation Mismatch
INV009922,1,Tax Calculation Mismatch
INV016517,1,Tax Calculation Mismatch
INV015243,1,Tax Calculation Mismatch
INV016599,1,Tax Calculation Mismatch
INV004490,1,Tax Calculation Mismatch
INV016692,1,Tax Calculation Mismatch
INV013598,1,Tax Calculation Mismatch
INV009683,1,Tax Calculation Mismatch
INV003954,1,Tax Calculation Mismatch
INV000175,1,Tax Calculation Mismatch
INV010297,1,Tax Calculation Mismatch
INV017619,1,Tax Calculation Mismatch
INV017402,1,Tax Calculation Mismatch
INV011405,1,Tax Calculation Mismatch
INV003752,1,Tax Calculation Mismatch
INV009326,1,Tax Calculation Mismatch
INV018759,1,Tax Calculation Mismatch
INV004025,1,Tax Calculation Mismatch
INV013538,1,Tax Calculation Mismatch
INV015013,1,Tax Calculation Mismatch
INV001349,1,Tax Calculation Mismatch
INV007042,1,Tax Calculation Mismatch
INV018469,1,Tax Calculation Mismatch
INV018954,1,Tax Calculation Mismatch
INV014515,1,Tax Calculation Mismatch
INV012585,1,Tax Calculation Mismatch
INV007540,1,Tax Calculation Mismatch
INV003069,1,Tax Calculation Mismatch
INV001869,1,Tax Calculation Mismatch
INV007654,1,Tax Calculation Mismatch
INV008435,1,Tax Calculation Mismatch
INV007599,1,Tax Calculation Mismatch
INV006050,1,Tax Calculation Mismatch
INV002434,1,Tax Calculation Mismatch
INV005501,1,Tax Calculation Mismatch
INV004842,1,Tax Calculation Mismatch
INV015492,1,Tax Calculation Mismatch
INV006436,1,Tax Calculation Mismatch
INV005781,1,Tax Calculation Mismatch
INV000445,1,Tax Calculation Mismatch
INV009611,1,Tax Calculation Mismatch
INV008582,1,Tax Calculation Mismatch
INV016473,1,Tax Calculation Mismatch
INV019472,1,Tax Calculation Mismatch
INV013356,1,Tax Calculation Mismatch
INV014823,1,Tax Calculation Mismatch
INV003362,1,Tax Calculation Mismatch
INV009971,1,Tax Calculation Mismatch
INV011088,1,Tax Calculation Mismatch
INV014113,1,Tax Calculation Mismatch
INV019521,1,Tax Calculation Mismatch
INV017741,1,Tax Calculation Mismatch
INV019418,1,Tax Calculation Mismatch
INV010803,1,Tax Calculation Mismatch
INV013563,1,Tax Calculation Mismatch
INV018612,1,Tax Calculation Mismatch
INV017527,1,Tax Calculation Mismatch
INV004876,1,Tax Calculation Mismatch
INV000374,1,Tax Calculation Mismatch
INV017524,1,Tax Calculation Mismatch
INV005292,1,Tax Calculation Mismatch
INV019934,1,Tax Calculation Mismatch
INV010281,1,Tax Calculation Mismatch
INV007122,1,Tax Calculation Mismatch
INV002770,1,Tax Calculation Mismatch
INV017562,1,Incorrect CGST SGST Split
INV009002,1,Incorrect CGST SGST Split
INV002623,1,Incorrect CGST SGST Split
INV013420,1,Incorrect CGST SGST Split
INV000890,1,Incorrect CGST SGST Split
INV003542,1,Incorrect CGST SGST Split
INV015414,1,Incorrect CGST SGST Split
INV008551,1,Incorrect CGST SGST Split
INV018051,1,Incorrect CGST SGST Split
INV000592,1,Incorrect CGST SGST Split
INV007421,1,Incorrect CGST SGST Split
INV005927,1,Incorrect CGST SGST Split
INV004265,1,Incorrect CGST SGST Split
INV004268,1,Incorrect CGST SGST Split
INV002228,1,Incorrect CGST SGST Split
INV007490,1,Incorrect CGST SGST Split
INV006537,1,Incorrect CGST SGST Split
INV002319,1,Incorrect CGST SGST Split
INV008244,1,Incorrect CGST SGST Split
INV012572,1,Incorrect CGST SGST Split
INV010590,1,Incorrect CGST SGST Split
INV009279,1,Incorrect CGST SGST Split
INV008750,1,Incorrect CGST SGST Split
INV018382,1,Incorrect CGST SGST Split
INV007099,1,Incorrect CGST SGST Split
INV000235,1,Incorrect CGST SGST Split
INV018275,1,Incorrect CGST SGST Split
INV009130,1,Incorrect CGST SGST Split
INV001294,1,Incorrect CGST SGST Split
INV017125,1,Incorrect CGST SGST Split
INV014494,1,Incorrect CGST SGST Split
INV003557,1,Incorrect CGST SGST Split
INV012280,1,Incorrect CGST SGST Split
INV018968,1,Incorrect CGST SGST Split
INV011646,1,Incorrect CGST SGST Split
INV001757,1,Incorrect CGST SGST Split
INV007192,1,Incorrect CGST SGST Split
INV010132,1,Incorrect CGST SGST Split
INV012583,1,Incorrect CGST SGST Split
INV007806,1,Incorrect CGST SGST Split
INV007926,1,Incorrect CGST SGST Split
INV015044,1,Incorrect CGST SGST Split
INV014491,1,Incorrect CGST SGST Split
INV018751,1,Incorrect CGST SGST Split
INV013167,1,Incorrect CGST SGST Split
INV008205,1,Incorrect CGST SGST Split
INV006705,1,Incorrect CGST SGST Split
INV000218,1,Incorrect CGST SGST Split
INV014579,1,Incorrect CGST SGST Split
INV019889,1,Incorrect CGST SGST Split
INV012549,1,Incorrect CGST SGST Split
INV001082,1,Incorrect CGST SGST Split
INV019202,1,Incorrect CGST SGST Split
INV015287,1,Incorrect CGST SGST Split
INV004877,1,Incorrect CGST SGST Split
INV008094,1,Incorrect CGST SGST Split
INV004198,1,Incorrect CGST SGST Split
INV003403,1,Incorrect CGST SGST Split
INV006535,1,Incorrect CGST SGST Split
INV013435,1,Incorrect CGST SGST Split
INV000318,1,Incorrect CGST SGST Split
INV003088,1,Incorrect CGST SGST Split
INV002984,1,Incorrect CGST SGST Split
INV003503,1,Incorrect CGST SGST Split
INV012682,1,Incorrect CGST SGST Split
INV008953,1,Incorrect CGST SGST Split
INV007188,1,Incorrect CGST SGST Split
INV011451,1,Incorrect CGST SGST Split
INV001551,1,Incorrect CGST SGST Split
INV007270,1,Incorrect CGST SGST Split
INV001660,1,Incorrect CGST SGST Split
INV001079,1,Incorrect CGST SGST Split
INV005289,1,Incorrect CGST SGST Split
INV005103,1,Incorrect CGST SGST Split
INV000639,1,Incorrect CGST SGST Split
INV001180,1,Incorrect CGST SGST Split
INV014049,1,Incorrect CGST SGST Split
INV013311,1,Incorrect CGST SGST Split
INV013180,1,Incorrect CGST SGST Split
INV011926,1,Incorrect CGST SGST Split
INV016970,1,Incorrect CGST SGST Split
INV009945,1,Incorrect CGST SGST Split
INV009493,1,Incorrect CGST SGST Split
INV011101,1,Incorrect CGST SGST Split
INV007017,1,Incorrect CGST SGST Split
INV007160,1,Incorrect CGST SGST Split
INV005080,1,Incorrect CGST SGST Split
INV015941,1,Incorrect CGST SGST Split
INV013306,1,Incorrect CGST SGST Split
INV013663,1,Incorrect CGST SGST Split
INV002065,1,Incorrect CGST SGST Split
INV007697,1,Incorrect IGST
INV015316,1,Incorrect IGST
INV003537,1,Incorrect IGST
INV013522,1,Incorrect IGST
INV003843,1,Incorrect IGST
INV008002,1,Incorrect IGST
INV014142,1,Incorrect IGST
INV008235,1,Incorrect IGST
INV008922,1,Incorrect IGST
INV015584,1,Incorrect IGST
INV017328,1,Incorrect IGST
INV017347,1,Incorrect IGST
INV013011,1,Incorrect IGST
INV013568,1,Incorrect IGST
INV005078,1,Incorrect IGST
INV005330,1,Incorrect IGST
INV009874,1,Incorrect IGST
INV014349,1,Incorrect IGST
INV000231,1,Incorrect IGST
INV019110,1,Incorrect IGST
INV011426,1,Incorrect IGST
INV004750,1,Incorrect IGST
INV017540,1,Incorrect IGST
INV001919,1,Incorrect IGST
INV008526,1,Incorrect IGST
INV015513,1,Incorrect IGST
INV019831,1,Incorrect IGST
INV006584,1,Incorrect IGST
INV012068,1,Incorrect IGST
INV005152,1,Incorrect IGST
INV014970,1,Incorrect IGST
INV007001,1,Incorrect IGST
INV000387,1,Incorrect IGST
INV003995,1,Incorrect IGST
INV000691,1,Incorrect IGST
INV013891,1,Incorrect IGST
INV013341,1,Incorrect IGST
INV013583,1,Incorrect IGST
INV009618,1,Incorrect IGST
INV004133,1,Incorrect IGST
INV003650,1,Incorrect IGST
INV018502,1,Incorrect IGST
INV018309,1,Incorrect IGST
INV001686,1,Incorrect IGST
INV013107,1,Incorrect IGST
INV017597,1,Incorrect IGST
INV006073,1,Incorrect IGST
INV008616,1,Incorrect IGST
INV008206,1,Incorrect IGST
INV010696,1,Incorrect IGST
INV017959,1,Incorrect IGST
INV003037,1,Incorrect IGST
INV018205,1,Incorrect IGST
INV000089,1,Incorrect IGST
INV008670,1,Incorrect IGST
INV015782,1,Incorrect IGST
INV015821,1,Incorrect IGST
INV011636,1,Incorrect IGST
INV002992,1,Incorrect IGST
INV015280,1,Incorrect IGST
INV007933,1,Incorrect IGST
INV007533,1,Incorrect IGST
INV000764,1,Incorrect IGST
INV000288,1,Incorrect IGST
INV015845,1,Incorrect IGST
INV009146,1,Incorrect IGST
INV005150,1,Incorrect IGST
INV011187,1,Incorrect IGST
INV017586,1,Incorrect IGST
INV019890,1,Incorrect IGST
INV017233,1,Incorrect IGST
INV018047,1,Incorrect IGST
INV019018,1,Incorrect IGST
INV018470,1,Incorrect IGST
INV018740,1,Incorrect IGST
INV005304,1,Incorrect IGST
INV005543,1,Incorrect IGST
INV001495,1,Incorrect IGST
INV008576,1,Incorrect IGST
INV016728,1,Incorrect IGST
INV019019,1,Incorrect IGST
INV002397,1,Incorrect IGST
INV001729,1,Incorrect IGST
INV001136,1,Incorrect IGST
INV011161,1,Incorrect IGST
INV004387,1,Incorrect IGST
INV016137,1,Incorrect IGST
INV016193,1,Incorrect IGST
INV002891,1,Incorrect IGST
INV018616,1,Incorrect IGST
INV010086,1,Incorrect IGST
INV014108,1,Duplicate Transaction
INV001157,1,Duplicate Transaction
INV010594,1,Duplicate Transaction
INV011514,1,Duplicate Transaction
INV014636,1,Duplicate Transaction
INV009193,1,Duplicate Transaction
INV001685,1,Duplicate Transaction
INV008415,1,Duplicate Transaction
INV004522,1,Duplicate Transaction
INV010292,1,Duplicate Transaction
INV015753,1,Duplicate Transaction
INV017234,1,Duplicate Transaction
INV014708,1,Duplicate Transaction
INV005539,1,Duplicate Transaction
INV013478,1,Duplicate Transaction
INV013329,1,Duplicate Transaction
INV009965,1,Duplicate Transaction
INV001794,1,Duplicate Transaction
INV004813,1,Duplicate Transaction
INV010739,1,Duplicate Transaction
INV004448,1,Duplicate Transaction
INV013813,1,Duplicate Transaction
INV017611,1,Duplicate Transaction
INV005503,1,Duplicate Transaction
INV009558,1,Duplicate Transaction
INV003720,1,Duplicate Transaction
INV012550,1,Duplicate Transaction
INV019287,1,Duplicate Transaction
INV015984,1,Duplicate Transaction
INV010334,1,Duplicate Transaction
INV019218,1,Duplicate Transaction
INV006743,1,Duplicate Transaction
INV004304,1,Duplicate Transaction
INV019148,1,Duplicate Transaction
INV002208,1,Duplicate Transaction
INV004737,1,Duplicate Transaction
INV011142,1,Duplicate Transaction
INV015503,1,Duplicate Transaction
INV017934,1,Duplicate Transaction
INV012034,1,Duplicate Transaction
INV014030,1,Duplicate Transaction
INV018191,1,Duplicate Transaction
INV016965,1,Duplicate Transaction
INV016522,1,Duplicate Transaction
INV003506,1,Duplicate Transaction
INV003107,1,Duplicate Transaction
INV008010,1,Duplicate Transaction
INV010109,1,Duplicate Transaction
INV012030,1,Duplicate Transaction
INV000470,1,Duplicate Transaction
INV011332,1,Duplicate Transaction
INV017648,1,Duplicate Transaction
INV000509,1,Duplicate Transaction
INV002691,1,Duplicate Transaction
INV010752,1,Duplicate Transaction
INV008066,1,Duplicate Transaction
INV019441,1,Duplicate Transaction
INV008816,1,Duplicate Transaction
INV018207,1,Duplicate Transaction
INV004907,1,Duplicate Transaction
INV018651,1,Duplicate Transaction
INV013150,1,Duplicate Transaction
INV012226,1,Duplicate Transaction
INV016638,1,Duplicate Transaction
INV016882,1,Duplicate Transaction
INV016197,1,Duplicate Transaction
INV014585,1,Duplicate Transaction
INV014691,1,Duplicate Transaction
INV018183,1,Duplicate Transaction
INV009264,1,Duplicate Transaction
INV007230,1,Duplicate Transaction
INV011808,1,Duplicate Transaction
INV014172,1,Duplicate Transaction
INV018718,1,Duplicate Transaction
INV019234,1,Duplicate Transaction
INV013509,1,Duplicate Transaction
INV006363,1,Duplicate Transaction
INV016900,1,Duplicate Transaction
INV004528,1,Duplicate Transaction
INV002529,1,Duplicate Transaction
INV007647,1,Duplicate Transaction
INV002740,1,Duplicate Transaction
INV000724,1,Duplicate Transaction
INV011185,1,Duplicate Transaction
INV014669,1,Duplicate Transaction
INV015930,1,Duplicate Transaction
INV012777,1,Duplicate Transaction
INV001319,1,Duplicate Transaction
INV009450,1,Duplicate Transaction
INV012522,1,Duplicate Transaction
INV005583,1,Duplicate Transaction
INV010288,1,Unusual Supplier Activity
INV013629,1,Unusual Supplier Activity
INV007054,1,Unusual Supplier Activity
INV013015,1,Unusual Supplier Activity
INV005401,1,Unusual Supplier Activity
INV000926,1,Unusual Supplier Activity
INV011991,1,Unusual Supplier Activity
INV000730,1,Unusual Supplier Activity
INV019242,1,Unusual Supplier Activity
INV019817,1,Unusual Supplier Activity
INV001138,1,Unusual Supplier Activity
INV003725,1,Unusual Supplier Activity
INV019272,1,Unusual Supplier Activity
INV016328,1,Unusual Supplier Activity
INV015842,1,Unusual Supplier Activity
INV002463,1,Unusual Supplier Activity
INV003980,1,Unusual Supplier Activity
INV012952,1,Unusual Supplier Activity
INV007478,1,Unusual Supplier Activity
INV002747,1,Unusual Supplier Activity
INV010090,1,Unusual Supplier Activity
INV002122,1,Unusual Supplier Activity
INV000032,1,Unusual Supplier Activity
INV004479,1,Unusual Supplier Activity
INV004789,1,Unusual Supplier Activity
INV000015,1,Unusual Supplier Activity
INV004541,1,Unusual Supplier Activity
INV017108,1,Unusual Supplier Activity
INV013328,1,Unusual Supplier Activity
INV018175,1,Unusual Supplier Activity
INV015711,1,Unusual Supplier Activity
INV006581,1,Unusual Supplier Activity
INV010554,1,Unusual Supplier Activity
INV008100,1,Unusual Supplier Activity
INV002506,1,Unusual Supplier Activity
INV012433,1,Unusual Supplier Activity
INV011057,1,Unusual Supplier Activity
INV005176,1,Unusual Supplier Activity
INV019524,1,Unusual Supplier Activity
INV000181,1,Unusual Supplier Activity
INV007370,1,Unusual Supplier Activity
INV002334,1,Unusual Supplier Activity
INV009892,1,Unusual Supplier Activity
INV003413,1,Unusual Supplier Activity
INV008004,1,Unusual Supplier Activity
INV015938,1,Unusual Supplier Activity
INV019617,1,Unusual Supplier Activity
INV009559,1,Unusual Supplier Activity
INV007011,1,Unusual Supplier Activity
INV003396,1,Unusual Supplier Activity
INV018138,1,Unusual Supplier Activity
INV002273,1,Unusual Supplier Activity
INV011248,1,Unusual Supplier Activity
INV011871,1,Unusual Supplier Activity
INV011073,1,Unusual Supplier Activity
INV011545,1,Unusual Supplier Activity
INV018463,1,Unusual Supplier Activity
INV010531,1,Unusual Supplier Activity
INV002428,1,Unusual Supplier Activity
