invoice_no,invoice_date,supplier_id,supplier_gstin,buyer_id,buyer_gstin,product_category,hsn_code,quantity,unit_price,discount_percentage,discount_amount,taxable_value,gst_rate,cgst,sgst,igst,cess_rate,cess_amount,total_tax,total_amount,payment_method
INV000039,2025-07-08,S0315,21MIRSD5891K4ZO,B0087,14PNBTO3311R5Z1,Furniture,9403,9,3682.22,0,0.0,33139.98,5,828.5,828.5,0.0,0.0,0.0,1657.0,34796.98,Bank Transfer
INV000040,2025-08-18,S0233,17XBZFQ8088D1Z3,B0315,15VHVKJ8125H9Z6,Food,2106,61,729.45,0,0.0,44496.45,12,2669.79,2669.79,0.0,0.0,0.0,5339.58,49836.03,Credit Card
INV000041,2025-09-28,S0375,33IEZLJ3933Y7ZU,B0762,18JGNOT4895Z7Z0,Stationery,4820,94,605.68,5,2846.7,54087.22,5,1352.18,1352.18,0.0,0.0,0.0,2704.36,56791.58,Cheque
INV000042,2025-08-24,S0103,05MQUPJ0403J2ZF,B0267,11XYGKP8953D3ZU,Food,2106,78,649.36,0,0.0,50650.08,12,3039.0,3039.0,0.0,0.0,0.0,6078.0,56728.08,UPI
INV000043,2025-04-10,S0064,27BNQML0212W8ZH,B0543,06RXLZR3796T2ZQ,Clothing,6109,54,599.1,0,0.0,32351.4,12,1941.08,1941.08,0.0,0.0,0.0,3882.16,36233.56,Cheque
INV000044,2025-04-04,S0219,28SWBCL4637X3ZH,B0959,17ATVSE2551X8ZN,Electronics,8504,66,23984.5,10,158297.7,1424679.3,12,0.0,0.0,170961.52,0.0,0.0,170961.52,1595640.82,Bank Transfer
INV000045,2025-03-31,S0246,25JJVUP7247B5ZB,B0557,18LFPHP3003P6ZJ,Furniture,9403,26,1472.49,10,3828.47,34456.27,28,4823.88,4823.88,0.0,0.0,0.0,9647.76,44104.03,Bank Transfer
INV000046,2025-04-03,S0063,19RKTAC2178A9Z3,B0456,14UPDZN5512P6ZU,Pharmaceuticals,3004,40,4145.08,15,24870.48,140932.72,12,0.0,0.0,16911.93,0.0,0.0,16911.93,157844.65,Credit Card
INV000047,2025-09-20,S0026,36SOCYR1035N3ZC,B0104,04GVOBI9620G8Z3,Industrial Equipment,8419,73,87030.31,0,0.0,6353212.63,28,889449.77,889449.77,0.0,0.0,0.0,1778899.54,8132112.17,Bank Transfer
INV000048,2025-07-15,S0255,06KKIHL8765N2Z0,B0090,35CWQOX8419M6ZY,Pharmaceuticals,3004,62,4482.66,5,13896.25,264028.67,12,15841.72,15841.72,0.0,0.0,0.0,31683.44,295712.11,Cash
INV000049,2025-06-08,S0115,03HVSDS4002E9Z7,B0215,10BGXZC5786M7ZB,Stationery,4820,51,290.37,10,1480.89,13327.98,18,0.0,0.0,2399.04,0.0,0.0,2399.04,15727.02,Credit Card
INV000050,2025-05-15,S0498,01TUXFX1308I6ZW,B0928,30GVQRB4616V1Z7,Food,2106,7,1848.29,10,1293.8,11644.23,5,291.11,291.11,0.0,0.0,0.0,582.22,12226.45,Cheque
INV000051,2025-11-01,S0284,07KPURE3306X3Z4,B0349,32VAFYO7582D2Z2,Furniture,9403,30,29294.53,10,87883.59,790952.31,12,0.0,0.0,94914.28,0.0,0.0,94914.28,885866.59,Bank Transfer
INV000052,2025-03-25,S0049,18IGYHL7563P6ZL,B0722,07EUVHD9459N1Z9,Electronics,8504,70,29925.32,15,314215.86,1780556.54,18,0.0,0.0,320500.18,0.0,0.0,320500.18,2101056.72,Bank Transfer
INV000053,2025-07-19,S0142,08ZPUSR0497Y4ZD,B0754,22KGRXE7791K7ZK,Industrial Equipment,8419,100,54086.77,10,540867.7,4867809.3,28,681493.3,681493.3,0.0,0.0,0.0,1362986.6,6230795.9,Cheque
INV000054,2025-07-09,S0422,20IFTVC9750Z8ZG,B0794,28LPKDW5913F1ZO,Furniture,9403,43,32120.36,10,138117.55,1243057.93,18,0.0,0.0,223750.43,0.0,0.0,223750.43,1466808.36,Cheque
INV000055,2025-02-26,S0432,10HWDAQ1869E2ZI,B0607,36PTEZJ5015T5Z5,Electronics,8504,23,7601.23,5,8741.41,166086.88,28,0.0,0.0,46504.33,0.0,0.0,46504.33,212591.21,Cash
INV000056,2025-03-12,S0154,07EDIGG2793X1ZQ,B0542,23TNRZG7003X1Z1,Industrial Equipment,8419,25,65733.29,5,82166.61,1561165.64,5,39029.14,39029.14,0.0,5.0,78058.28,156116.56,1717282.2,Cheque
INV000057,2025-06-03,S0469,28NMUVL2507G3ZW,B0989,26GGRVQ1627F1Z1,Food,2106,43,2442.11,0,0.0,105010.73,12,6300.64,6300.64,0.0,0.0,0.0,12601.28,117612.01,UPI
INV000058,2025-09-25,S0201,19AFHUO7455I9ZX,B0536,09YSOMG9906K9ZH,Electronics,8504,11,9520.15,0,0.0,104721.65,5,2618.04,2618.04,0.0,0.0,0.0,5236.08,109957.73,Credit Card
INV000059,2025-10-02,S0059,08OQXVB1375J8ZH,B0794,28LPKDW5913F1ZO,Electronics,8504,74,12665.2,5,46861.24,890363.56,5,22259.09,22259.09,0.0,5.0,44518.18,89036.36,23287688.63,Cash
INV000060,2025-01-12,S0378,37YEAJD3528C7ZN,B0815,37CPCQC1865Z3Z1,Industrial Equipment,8419,85,92107.39,15,1174369.22,6654758.93,12,0.0,0.0,798571.07,0.0,0.0,798571.07,7453330.0,Cheque
INV000061,2025-01-25,S0190,10SUBZM4596R1ZX,B0324,16NGSNB9762G3Z7,Clothing,6109,72,4334.93,5,15605.75,296509.21,12,17790.55,17790.55,0.0,0.0,0.0,35581.1,332090.31,Cash
INV000062,2025-11-18,S0425,36QUNKK6593K4Z1,B0673,18EFXAG4295E2ZR,Food,2106,96,1538.55,0,0.0,147700.8,28,0.0,0.0,41356.22,0.0,0.0,41356.22,189057.02,Bank Transfer
INV000063,2025-04-10,S0065,02ZPGEO5099O2ZJ,B0690,06NQBSO7312K1ZC,Furniture,9403,3,37560.31,0,0.0,112680.93,5,2817.02,2817.02,0.0,0.0,0.0,5634.04,118314.97,Cash
INV000064,2025-01-06,S0128,36OXWSY6751G3ZP,B0982,07EDMKG2413J3ZJ,Stationery,4820,69,268.79,10,1854.65,16691.86,28,2336.86,2336.86,0.0,0.0,0.0,4673.72,21365.58,Bank Transfer
INV000065,2025-06-28,S0063,19RKTAC2178A9Z3,B0250,24AXNWS6443R7Z7,Pharmaceuticals,3004,55,518.4,0,0.0,28512.0,18,0.0,0.0,5132.16,0.0,0.0,5132.16,33644.16,Cheque
INV000066,2025-03-04,S0022,09RHITB4990G9ZQ,B0291,23XKKZI0536N8ZW,Food,2106,8,2643.99,0,0.0,21151.92,12,0.0,0.0,2538.23,0.0,0.0,2538.23,23690.15,Cash
INV000067,2025-06-25,S0478,32PSVLH1712P6ZS,B0714,07DDUAB1952M7ZF,Stationery,4820,68,1002.45,5,3408.33,64758.27,28,9066.16,9066.16,0.0,0.0,0.0,18132.32,82890.59,UPI
INV000068,2025-12-20,S0179,37REWAF1889J3ZP,B0522,02LHBKW8916G7Z0,Pharmaceuticals,3004,77,4069.34,0,0.0,313339.18,12,18800.35,18800.35,0.0,0.0,0.0,37600.7,350939.88,Cash
INV000069,2025-12-27,S0004,36HQXJE0679H2ZY,B0642,14XRJKI0883P8ZZ,Food,2106,70,999.18,5,3497.13,66445.47,5,1661.14,1661.14,0.0,2.0,1328.91,4651.19,71096.66,UPI
INV000070,2025-02-14,S0334,25ZACDY4020B7ZZ,B0343,09NNKKD6223K2ZC,Stationery,4820,50,1644.41,0,0.0,82220.5,28,11510.87,11510.87,0.0,0.0,0.0,23021.74,105242.24,Cash
INV000071,2025-02-21,S0195,34EEOYG4164A4Z2,B0298,30AOYKT6325E9ZS,Clothing,6109,51,4791.29,10,24435.58,219920.21,5,5498.01,5498.01,0.0,0.0,0.0,10996.02,230916.23,UPI
INV000072,2025-08-30,S0249,19HCKOM0008U8ZM,B0187,30EZUNH4988J2ZT,Furniture,9403,4,42907.76,10,17163.1,154467.94,28,0.0,0.0,43251.02,0.0,0.0,43251.02,197718.96,Credit Card
INV000073,2025-01-03,S0176,34DENVG3345W4ZT,B0937,33UVFBA1338R4Z9,Clothing,6109,38,1050.03,0,0.0,39901.14,28,0.0,0.0,11172.32,0.0,0.0,11172.32,51073.46,Credit Card
INV000074,2025-02-09,S0018,06YWEMF4039I8ZS,B0915,25EEWKL8092Z7ZI,Electronics,8504,80,49959.21,5,199836.84,3796899.96,18,341721.0,341721.0,0.0,0.0,0.0,683442.0,4480341.96,Cheque
INV000075,2025-11-22,S0471,12UJMQW0830N5Z8,B0307,12RJSIS7273M2Z4,Furniture,9403,34,3099.83,0,0.0,105394.22,5,2634.86,2634.86,0.0,0.0,0.0,5269.72,110663.94,Cheque
INV000076,2025-01-01,S0070,29CXADW9072T7ZF,B0503,07JENXM6999V9ZY,Clothing,6109,2,1467.48,5,146.75,2788.21,28,390.35,390.35,0.0,0.0,0.0,780.7,3568.91,Cheque
INV000077,2025-02-22,S0135,23ZDJOI4220J7Z0,B0649,16KLYUH8545X5ZD,Food,2106,87,848.24,0,0.0,73796.88,12,4427.81,4427.81,0.0,0.0,0.0,8855.62,82652.5,Cash
INV000078,2025-10-22,S0211,01FCPNL0318W3Z4,B0589,09TYOLJ6056U9ZG,Stationery,4820,6,848.41,5,254.52,4835.94,18,435.23,435.23,0.0,0.0,0.0,870.46,5706.4,Cheque
INV000079,2025-11-17,S0495,36SUKXD1036E8Z7,B0709,07IKOVN0636P5ZS,Electronics,8504,73,9098.17,10,66416.64,597749.77,18,0.0,0.0,107594.96,0.0,0.0,107594.96,705344.73,Bank Transfer
INV000080,2025-06-13,S0387,25PRBEH7606A2ZY,B0984,13FHHWV3845K1ZR,Food,2106,15,2574.25,0,0.0,38613.75,18,3475.24,3475.24,0.0,0.0,0.0,6950.48,45564.23,UPI
INV000081,2025-09-09,S0064,27BNQML0212W8ZH,B0465,16FERIZ6558Y3ZU,Food,2106,26,112.76,5,146.59,2785.17,5,0.0,0.0,139.26,0.0,0.0,139.26,2924.43,Bank Transfer
INV000082,2025-01-18,S0104,33JPYTB9516Q3ZD,B0313,22ESXQM8543T9ZI,Clothing,6109,76,2618.61,10,19901.44,179112.92,5,4477.82,4477.82,0.0,0.0,0.0,8955.64,188068.56,Credit Card
INV000083,2025-08-15,S0334,25ZACDY4020B7ZZ,B0766,20JFQGY1888Z6ZU,Food,2106,66,706.21,0,0.0,46609.86,12,2796.59,2796.59,0.0,0.0,0.0,5593.18,52203.04,Credit Card
INV000084,2025-01-08,S0425,36QUNKK6593K4Z1,B0258,01QPASX0371O6ZL,Electronics,8504,30,36014.28,10,108042.84,972385.56,5,24309.64,24309.64,0.0,0.0,0.0,48619.28,1021004.84,Bank Transfer
INV000085,2025-04-09,S0263,15QRGKA7709U3ZA,B0846,35BWPKG0360T4ZU,Pharmaceuticals,3004,54,9696.31,0,0.0,523600.74,12,31416.04,31416.04,0.0,0.0,0.0,62832.08,586432.82,UPI
INV000086,2025-01-21,S0474,15IXNKB3458P9Z8,B0269,37UXOKP5126Z2Z0,Electronics,8504,84,42445.43,0,0.0,3565416.12,5,89135.4,89135.4,0.0,0.0,0.0,178270.8,3743686.92,Bank Transfer
INV000087,2025-08-19,S0237,15AVHVM3521H4ZR,B0138,05IPPJQ2592T2ZT,Electronics,8504,35,38019.11,0,0.0,1330668.85,5,33266.72,33266.72,0.0,0.0,0.0,66533.44,1397202.29,Cheque
INV000088,2025-12-27,S0140,10FNNBD3446Q3ZU,B0103,33YTIXU1333A9ZJ,Industrial Equipment,8419,28,20158.3,0,0.0,564432.4,12,0.0,0.0,67731.89,0.0,0.0,67731.89,632164.29,Cash
INV000089,2025-11-15,S0248,28YEXEC2167X9ZQ,B0732,29XSTKD1077P8ZY,Industrial Equipment,8419,40,14385.11,15,86310.66,489093.74,12,0.0,0.0,23476.5,0.0,0.0,23476.5,512570.24,Credit Card
INV000090,2025-01-15,S0301,35TFSFL9097D7ZC,B0748,26LMOZE9430T2Z3,Pharmaceuticals,3004,72,4799.23,15,51831.68,293712.88,28,0.0,0.0,82239.61,0.0,0.0,82239.61,375952.49,Cheque
INV000091,2025-07-28,S0105,29CXISN1244Q3ZX,B0188,27UVQBG0502P1Z1,Clothing,6109,48,575.02,5,1380.05,26220.91,18,0.0,0.0,4719.76,0.0,0.0,4719.76,30940.67,Cash
INV000092,2025-05-16,S0427,36CLIKP6583U1ZF,B0912,26EOUFD4535L7ZZ,Pharmaceuticals,3004,83,6767.14,0,0.0,561672.62,28,78634.17,78634.17,0.0,0.0,0.0,157268.34,718940.96,Cheque
INV000093,2025-01-27,S0019,28SSURM1207B6ZD,B0198,33ARBVL5042C7ZP,Food,2106,49,1601.23,0,0.0,78460.27,28,10984.44,10984.44,0.0,0.0,0.0,21968.88,100429.15,UPI
INV000094,2025-10-07,S0205,07DTKBH6711K4ZZ,B0460,27VKEND8639Z3ZB,Pharmaceuticals,3004,84,1781.37,0,0.0,149635.08,5,3740.88,3740.88,0.0,0.0,0.0,7481.76,157116.84,UPI
INV000095,2025-07-20,S0458,12IDDKS5490D7ZK,B0822,37BAVCB9189H6ZK,Furniture,9403,93,7641.56,10,71066.51,639598.57,18,57563.87,57563.87,0.0,5.0,31979.93,147107.67,786706.24,Cash
INV000096,2025-01-06,S0174,27DQBDF4069P8ZB,B0477,35TLBZX3293I2Z3,Furniture,9403,78,16336.44,0,0.0,1274242.32,5,31856.06,31856.06,0.0,0.0,0.0,63712.12,1337954.44,Cheque
INV000097,2025-01-07,S0014,08GBAOP0700B6ZE,B0818,15IJCYP8661U1Z0,Furniture,9403,28,31151.46,0,0.0,872240.88,12,0.0,0.0,104668.91,0.0,0.0,104668.91,976909.79,Credit Card
INV000098,2025-03-29,S0083,07VQYHR2423V6Z8,B0096,32JTWFH4401C1ZO,Electronics,8504,27,27256.53,5,36796.32,699129.99,5,0.0,0.0,34956.5,0.0,0.0,34956.5,734086.49,Cash
INV000099,2025-12-02,S0200,09FJOQK4741S1ZO,B0508,25EZBVW7513W1ZN,Clothing,6109,24,775.76,0,0.0,18618.24,18,0.0,0.0,3351.28,0.0,0.0,3351.28,21969.52,Bank Transfer
INV000100,2025-07-28,S0406,23AWRVH9041V5Z9,B0115,24UIJEG6308Q9ZF,Furniture,9403,15,28904.49,10,43356.74,390210.61,5,9755.27,9755.27,0.0,0.0,0.0,19510.54,409721.15,Bank Transfer
INV000101,2025-06-06,S0126,24KQGCT4352I8ZN,B0417,18IJCXY7353M8Z3,Electronics,8504,19,41340.1,0,0.0,785461.9,18,0.0,0.0,141383.14,1.0,7854.62,149237.76,934699.66,UPI
INV000102,2025-07-04,S0074,30QLRXM2509S5Z1,B0096,32JTWFH4401C1ZO,Pharmaceuticals,3004,51,252.43,0,0.0,12873.93,12,772.44,772.44,0.0,0.0,0.0,1544.88,14418.81,Cash
INV000103,2025-03-14,S0489,36TFUEH6616J7ZL,B0751,18WRWTK7340V2ZK,Pharmaceuticals,3004,94,268.47,0,0.0,25236.18,18,0.0,0.0,4542.51,0.0,0.0,4542.51,29778.69,Credit Card
INV000104,2025-04-03,S0193,23ZMHXC8733Z4Z7,B0632,33HZZBP8285Z4ZP,Electronics,8504,27,33882.95,5,45741.98,869097.67,18,78218.79,78218.79,0.0,0.0,0.0,156437.58,1025535.25,UPI
INV000105,2025-08-29,S0210,18CJCRQ0677N2ZG,B0081,02IEANJ0952F5ZF,Pharmaceuticals,3004,60,6066.51,0,0.0,363990.6,5,0.0,0.0,18199.53,0.0,0.0,18199.53,382190.13,Bank Transfer
INV000106,2025-06-26,S0424,30MBCMV2355M2ZU,B0709,07IKOVN0636P5ZS,Food,2106,75,1643.15,0,0.0,123236.25,28,17253.08,17253.08,0.0,0.0,0.0,34506.16,157742.41,Cheque
INV000107,2025-12-08,S0057,37QPTYF2611C3ZA,B0328,02IVLLS7013X5Z8,Industrial Equipment,8419,75,92607.8,0,0.0,6945585.0,12,0.0,0.0,833470.2,0.0,0.0,833470.2,7779055.2,Credit Card
INV000108,2025-12-26,S0147,18HOOXK3710W2ZW,B0751,18WRWTK7340V2ZK,Industrial Equipment,8419,69,89065.13,0,0.0,6145493.97,28,860369.16,860369.16,0.0,0.0,0.0,1720738.32,7866232.29,Cheque
INV000109,2025-12-12,S0216,34XAJIK8451P2ZB,B0130,26WKACX3740R4Z2,Clothing,6109,60,2020.97,0,0.0,121258.2,5,3031.45,3031.45,0.0,0.0,0.0,6062.9,127321.1,Credit Card
INV000110,2025-05-13,S0013,34WLFOS2396O9Z2,B0524,24XOTKQ2116J7ZD,Pharmaceuticals,3004,30,4439.39,15,19977.26,113204.44,5,0.0,0.0,5660.22,0.0,0.0,5660.22,118864.66,Cash
INV000111,2025-09-09,S0150,31QTHHB7627B3Z0,B0635,14KWHPE1330C2ZA,Stationery,4820,73,278.65,5,1017.07,19324.38,18,1739.19,1739.19,0.0,0.0,0.0,3478.38,22802.76,Cheque
INV000112,2025-04-14,S0202,35VBSOZ1872B8ZQ,B0623,16DXXGK7321B4ZJ,Pharmaceuticals,3004,81,1365.79,0,0.0,110628.99,18,0.0,0.0,19913.22,0.0,0.0,19913.22,130542.21,Bank Transfer
INV000113,2025-09-19,S0224,37JNXEU9904J5ZU,B0277,21UMCTS3826G2ZE,Furniture,9403,6,25704.31,0,0.0,154225.86,12,9253.55,9253.55,0.0,0.0,0.0,18507.1,172732.96,Bank Transfer
INV000114,2025-05-21,S0222,11GCOSF5082P6ZY,B0192,19HHFTO2396B8Z5,Clothing,6109,92,4307.28,0,0.0,396269.76,5,0.0,0.0,19813.49,0.0,0.0,19813.49,416083.25,Credit Card
INV000115,2025-12-18,S0481,35ZNDAY7991X9Z6,B0761,23EJNZS5568Y8ZA,Clothing,6109,2,1924.54,0,0.0,3849.08,5,0.0,0.0,192.45,0.0,0.0,192.45,4041.53,Cash
INV000116,2025-02-01,S0011,13DTOUN0309Z5ZP,B0019,16CEGVM5460F5ZI,Industrial Equipment,8419,67,40805.82,0,0.0,2733989.94,28,382758.59,382758.59,0.0,0.0,0.0,765517.18,3499507.12,Cheque
INV000117,2025-01-03,S0002,02OSSKL2871N6ZR,B0529,11KNQEO4969D3Z2,Industrial Equipment,8419,74,77971.21,10,576986.95,5192882.59,5,129822.06,129822.06,0.0,0.0,0.0,259644.12,5452526.71,Cash
INV000118,2025-01-12,S0297,31PYSRX5840D1ZY,B0978,21PUPRK7225X3ZP,Stationery,4820,12,781.28,15,1406.3,7969.06,12,0.0,0.0,956.29,0.0,0.0,956.29,8925.35,Credit Card
INV000119,2025-04-14,S0479,04DHYQE5117V3ZK,B0468,35LTRNI9138Y9Z3,Pharmaceuticals,3004,75,6765.22,10,50739.15,456652.35,28,0.0,0.0,127862.66,0.0,0.0,127862.66,584515.01,Credit Card
